plant_id,firm_id,capacity,lat,lon
1,1,1400,44.47950709,-87.9817005
2,1,1900,33.44004581,-112.2550184
3,1,2200,42.42097876,-85.64811132
4,1,1200,40.29385709,-75.33987423
5,1,5200,36.05205254,-102.0093565
7,1,2250,41.64431969,-111.860787
8,1,5400,40.4253617,-104.690804
9,1,5600,40.92190808,-98.32054655
10,2,4700,40.76292717,-99.73944877
11,2,6000,42.4236702,-96.4151848
12,2,6000,35.25933495,-101.6476726
13,2,3100,41.55623141,-90.22474952
14,2,6000,38.00138233,-101.0117894
15,2,1800,46.13763839,-118.9130865
16,3,1600,36.69037258,-119.7998838
17,3,5200,37.748895,-100.000049
18,3,5100,41.45152438,-97.09631722
19,3,4000,40.24686706,-103.7783248
20,3,1800,41.68331087,-76.24993095
21,3,4500,34.59878295,-102.7733283
22,4,6000,37.046907,-100.9146821
23,4,6000,37.746839,-99.98647
24,4,1200,41.9588897,-92.55145439
26,5,500,40.75303714,-98.83771207
27,5,500,44.51139644,-87.98050267
29,6,435,34.76049608,-102.4734997
30,6,255,43.44812151,-116.2744747
31,7,2900,41.212204,-95.95794
32,8,1400,36.32233277,-119.6166033
33,9,2400,41.21497046,-95.96522858
34,10,2200,37.10414869,-97.04682316
35,11,1650,46.37231092,-120.3332628
36,12,1520,32.99733417,-115.5185677
37,13,105,33.4538792,-81.9740079
39,15,1300,45.42843541,-98.4853111
40,16,1200,27.820957,-97.536098
41,17,12,41.035832,-77.28663522
43,19,72.5,36.4554967,-100.531481
45,21,550,40.56428857,-98.39416647
46,22,475,41.79999285,-88.32051949
47,23,470,43.44960662,-92.29732858
48,24,45,43.82293387,-90.60756213
49,25,425,37.2751769,-97.3698226
